Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_decode_tokens,request_pd_ratio,request_num_restarts
0,26.37994572433181,0.05152333149283557,26.37994572433182,0.05152333149283558,26.37994572433182,0.05152333149283558,0.0,0.0,26.37994572433182,0.05152333149283558,0.4437881135058279,0.4437881135058279,0.00021669341479776754,0.0506565578336445,,2560,2048,512,4.0,0
1,26.927314649849556,0.052592411425487415,26.534184214429235,0.0518245785438071,26.534184214429235,0.0518245785438071,0.0,0.3931304354203502,26.534184214429235,0.0518245785438071,0.9661026043026348,0.5729721688822846,0.00027977156683705305,0.05070549227645883,0.05065767808547772,2560,2048,512,4.0,0
2,26.797943915205447,0.05233973420938564,26.59429589442922,0.05194198416880707,26.59429589442922,0.05194198416880707,0.0,0.20364802077624677,26.59429589442922,0.05194198416880707,0.7938045096585316,0.5901564888822848,0.0002881623480870531,0.05078933477645882,0.6432481281499309,2560,2048,512,4.0,0
3,26.81213736537105,0.05236745579174033,26.644668722429213,0.052040368598494556,26.644668722429213,0.052040368598494556,0.0,0.1674686429418477,26.644668722429213,0.052040368598494556,0.6820013682247317,0.514532725282884,0.0002512366822670332,0.0510354218694264,0.505172371340227,2560,2048,512,4.0,0
4,28.00425194634009,0.05469580458269549,27.9953083155498,0.0546783365538082,27.9953083155498,0.0546783365538082,0.0,0.008943630790381185,27.9953083155498,0.0546783365538082,0.5202690660732641,0.5113254352828829,0.00024967062269672016,0.053679654063021144,2.667185345616166,2560,2048,512,4.0,0
5,28.828777874982453,0.056306206787075104,28.801769047551943,0.05625345517099989,28.801769047551943,0.05625345517099989,0.0,0.02700882743063282,28.801769047551943,0.05625345517099989,0.5443987527135175,0.5173899252828846,0.0002526317994545335,0.05524292797318152,2.2583460175971855,2560,2048,512,4.0,0
6,29.787291410766425,0.058178303536653174,29.78453057445887,0.05817291127823998,29.78453057445887,0.05817291127823998,0.0,0.0027608363077060716,29.78453057445887,0.05817291127823998,0.6354053251899927,0.6326444888822866,0.000308908441837054,0.05693727751089147,4.45457619910276,2560,2048,512,4.0,0
7,30.119263995059114,0.05882668749034983,29.796744014458863,0.05819676565323997,29.796744014458863,0.05819676565323997,0.0,0.3225199806004042,29.796744014458863,0.05819676565323997,0.8781436671711678,0.5556236865707636,0.00027130062820838064,0.05711156314040615,0.18190480921313146,2560,2048,512,4.0,0
8,30.243423059821087,0.05906918566371306,30.21813267862485,0.05901979038793916,30.21813267862485,0.05901979038793916,0.0,0.0252903811963634,30.21813267862485,0.05901979038793916,0.657951110078649,0.6326607288822856,0.00030891637152455353,0.0577841249018407,1.0960923187929819,2560,2048,512,4.0,0
9,30.709003938912197,0.059978523318187885,30.242532998624846,0.05906744726293915,30.242532998624846,0.05906744726293915,0.0,0.4664709402874738,30.242532998624846,0.05906744726293915,1.1095536691697596,0.6430827288822858,0.0003140052387120536,0.0578114263080907,0.06050035441471735,2560,2048,512,4.0,0
10,30.746053328498373,0.060050885407223385,30.26028478662483,0.05910211872387662,30.26028478662483,0.05910211872387662,0.0,0.4857685418736537,30.26028478662483,0.05910211872387662,1.0556273213288652,0.5698587794552115,0.00027825135715586497,0.05798911329525294,0.4934333919196483,2560,2048,512,4.0,0
11,32.0046000164861,0.1052782895279148,30.49033708371449,0.10029716145958714,30.49033708371449,0.10029716145958714,1.495511305703463,0.018751627068418486,31.985848389417953,0.105216606544138,0.677961875950702,0.6592102488822835,0.0002922031245045583,0.10304815177807697,1.4078310557323075,2560,2048,512,4.0,1
12,41.29193373891463,0.08549054604330152,30.13668356419784,0.06239478998798724,30.13668356419784,0.06239478998798724,10.666650281503834,0.48859989321362995,40.80333384570167,0.08447895206149414,1.0829339639545577,0.5943340707409277,0.0002861502507178275,0.08324844673904779,0.053788807360614754,2560,2048,512,4.0,1
13,43.173739299064295,0.08432370956848495,29.998009393276607,0.058589862096243374,29.998009393276607,0.058589862096243374,0.0,13.175729905788348,29.998009393276607,0.058589862096243374,13.826083862670632,0.6503539568822845,0.00031755564300892797,0.05731963952420637,0.44338333832735977,2560,2048,512,4.0,0
14,41.60596229012498,0.08126164509790035,30.009850565276594,0.05861298938530585,30.009850565276594,0.05861298938530585,0.0,11.596111724849031,30.009850565276594,0.05861298938530585,12.242336481731314,0.6462247568822832,0.00031553943207142734,0.05735083165701887,2.098984002445146,2560,2048,512,4.0,0
15,40.565847443146,0.07923017078739453,30.027190405276574,0.05864685626030581,30.027190405276574,0.05864685626030581,0.0,10.538657037870056,30.027190405276574,0.05864685626030581,11.139093452646446,0.6004364147763894,0.0002931818431525339,0.05747412888769443,1.5746585084848022,2560,2048,512,4.0,0
16,43.40561729132412,0.08477659627211742,30.022916986309042,0.05863850973888485,30.022916986309042,0.05863850973888485,0.0,13.382700305015788,30.022916986309042,0.05863850973888485,13.960913661872269,0.5782133568564802,0.00028233074065257824,0.05750918677627315,0.4980528379336455,2560,2048,512,4.0,0
17,45.398715547535915,0.10732556867029767,30.23033770704502,0.07146651940199768,30.23033770704502,0.07146651940199768,0.48242300183979125,14.685954838651814,30.71276070888481,0.07260699931178442,15.270575395508292,0.5846205568564784,0.00027357068640920844,0.07122491761708657,1.7796174126035247,2560,2048,512,4.0,1
18,47.007336012136804,0.0918112031487047,29.70989023353912,0.058027129362381094,29.70989023353912,0.058027129362381094,0.0,17.297445778598174,29.70989023353912,0.058027129362381094,17.941375575480464,0.6439297968822899,0.0003144188461339306,0.056769453977844414,3.315476188446194,2560,2048,512,4.0,0
19,47.508173468534096,0.09278940130573066,29.709075325539093,0.05802553774519354,29.709075325539093,0.05802553774519354,0.0,17.799098142995472,29.709075325539093,0.05802553774519354,18.405870864676626,0.6067727216811534,0.00029627574300837567,0.056840434773159115,0.013039937108533906,2560,2048,512,4.0,0
20,45.14181733198821,0.08816761197653947,29.915091831125157,0.05842791373266632,29.915091831125157,0.05842791373266632,0.0,15.226725500863491,29.915091831125157,0.05842791373266632,15.885216549745774,0.6584910488822828,0.00032152883246205216,0.057141798402817245,3.2779317241811015,2560,2048,512,4.0,0
21,43.267908231547054,0.08450763326474034,29.910681379125155,0.05841929956860382,29.910681379125155,0.05841929956860382,0.0,13.35722685242235,29.910681379125155,0.05841929956860382,14.019111369304632,0.6618845168822816,0.00032318579925892654,0.05712655637156723,2.3955798819469685,2560,2048,512,4.0,0
22,42.95664532005571,0.08389969789073382,29.900725859125146,0.0583998551936038,29.900725859125146,0.0583998551936038,0.0,13.055919460931015,29.900725859125146,0.0583998551936038,13.650774456739875,0.5948549958088591,0.0002904565409222945,0.05723802902991375,0.8317901729971595,2560,2048,512,4.0,0
23,45.72865994121258,0.1365034625110823,30.199608372184695,0.09014808469308865,30.199608372184695,0.09014808469308865,0.14472690055193738,15.38432466847651,30.344335272736632,0.09058010529175115,15.959482825332984,0.5751581568564745,0.0002584980480253818,0.08886321527128237,0.33797253617454004,2560,2048,512,4.0,1
24,48.9220147704499,0.09555081009853496,29.682690178678815,0.05797400425523206,29.682690178678815,0.05797400425523206,0.0,19.239324591771478,29.682690178678815,0.05797400425523206,19.862180172327093,0.6228555805556155,0.00030412870144317164,0.056757489449458604,6.0,2560,2048,512,4.0,0
25,50.227317488428824,0.09810022946958755,29.99741925144875,0.05858870947548584,29.99741925144875,0.05858870947548584,0.0,20.22989823698051,29.99741925144875,0.05858870947548584,20.89373160586279,0.6638333688822797,0.00032413738714955065,0.057292159926886785,0.8207378597621684,2560,2048,512,4.0,0
26,50.56385917925474,0.09875753745948192,29.997419251448747,0.058588709475485834,29.997419251448747,0.058588709475485834,0.0,20.56643992780642,29.997419251448747,0.058588709475485834,21.2329099646887,0.6664700368822807,0.0003254248226964261,0.0572870101846993,0.19466530267991544,2560,2048,512,4.0,0
27,50.894965470769314,0.09940422943509632,29.997419251448736,0.05858870947548581,29.997419251448736,0.05858870947548581,0.0,20.89754621932098,29.997419251448736,0.05858870947548581,21.495370015129836,0.597823795808857,0.00029190615029729347,0.057421084874295855,0.2034373699912635,2560,2048,512,4.0,0
28,50.47001987361479,0.09857425756565388,29.99575845144874,0.05858546572548582,29.99575845144874,0.05858546572548582,0.0,20.47426142216647,29.99575845144874,0.05858546572548582,21.05247477902296,0.5782133568564873,0.0002823307406525817,0.05745614276287467,3.7611074832662794,2560,2048,512,4.0,0
29,53.13067351127781,0.1224209067080134,30.204330052184698,0.06959523053498778,30.204330052184698,0.06959523053498778,0.5306653020238485,22.39567815706976,30.734995354208547,0.07081796164564182,22.98029871392624,0.5846205568564784,0.00027498615092026263,0.06947090967131699,1.8512989339120267,2560,2048,512,4.0,1
30,54.21994162349058,0.10589832348338003,29.67774929867881,0.05796435409898205,29.67774929867881,0.05796435409898205,0.0,24.542192324812156,29.67774929867881,0.05796435409898205,25.18932708169445,0.6471347568822949,0.0003159837680089331,0.05670041902694556,3.291459878810514,2560,2048,512,4.0,0
31,52.11713815610386,0.10179128546114036,29.673729430678787,0.057956502794294505,29.673729430678787,0.057956502794294505,0.0,22.443408725425456,29.673729430678787,0.057956502794294505,23.096920042307744,0.6535113168822875,0.00031909732269642943,0.056680113503508045,2.6166808608925365,2560,2048,512,4.0,0
32,51.09889120954936,0.09980252189365109,29.667632870678773,0.05794459545054448,29.667632870678773,0.05794459545054448,0.0,21.431258338870954,29.667632870678773,0.05794459545054448,22.081364615753223,0.6501062768822692,0.0003174347055089205,0.056674856628508075,1.536724848060338,2560,2048,512,4.0,0
33,45.6126323110552,0.08908717248252969,29.65998799067877,0.05792966404429447,29.65998799067877,0.05792966404429447,0.0,15.95264432037677,29.65998799067877,0.05792966404429447,16.60006595725904,0.647421636882271,0.00031612384613392136,0.056665168659758125,6.0,2560,2048,512,4.0,0
34,45.173904686863054,0.0882302825915294,29.652995190678762,0.05791600623179446,29.652995190678762,0.05791600623179446,0.0,15.520909496184615,29.652995190678762,0.05791600623179446,16.138066769124507,0.6171572729398918,0.0003013463246776815,0.0567106209330831,0.9513493656979719,2560,2048,512,4.0,0
35,47.35053817799588,0.13885788321992926,30.165991829725833,0.0884633191487561,30.165991829725833,0.0884633191487561,0.2894538011039174,16.89509254716659,30.45544563082975,0.08931215727516056,17.470250704023066,0.5751581568564745,0.000259197006244468,0.08762547646326338,1.606105490972972,2560,2048,512,4.0,1
36,52.71822043695832,0.10296527429093422,29.652817636219932,0.057915659445742056,29.652817636219932,0.057915659445742056,0.0,23.065402800738738,29.652817636219932,0.057915659445742056,23.688494541294332,0.6230917405555942,0.00030424401394316125,0.056698683389968724,3.536921969170997,2560,2048,512,4.0,0
37,52.71278013475741,0.10295464870069806,29.962606560037486,0.058520715937573214,29.962606560037486,0.058520715937573214,0.0,22.75017357472032,29.962606560037486,0.058520715937573214,23.414006943602615,0.6638333688822939,0.0003241373871495576,0.05722416638897421,1.9273924102536881,2560,2048,512,4.0,0
38,49.28722725757642,0.09626411573745394,29.962606560037496,0.058520715937573235,29.962606560037496,0.058520715937573235,0.0,19.32462069753933,29.962606560037496,0.058520715937573235,19.99109073442162,0.6664700368822878,0.0003254248226964296,0.05721901664678672,3.956759870686824,2560,2048,512,4.0,0
39,48.09933903638456,0.0939440215554386,29.962606560037486,0.058520715937573214,29.962606560037486,0.058520715937573214,0.0,18.136732476347476,29.962606560037486,0.058520715937573214,18.734556272156325,0.5978237958088499,0.00029190615029729,0.05735309133638328,1.7224318826976912,2560,2048,512,4.0,0
