,Time (sec),request_completion
0,4915.074483920489,1
1,4942.705210276135,2
2,4986.8194476818135,3
3,5030.576028691795,4
4,5074.332609701776,5
5,5118.525786501908,6
6,5162.2400768726275,7
7,5206.0355411264345,8
8,5249.716735822434,9
9,5293.429440960954,10
10,5337.186021970935,11
11,5381.11582487361,12
12,5424.79701956961,13
13,5468.376971291461,14
14,5512.09126166218,15
15,5556.284438462312,16
16,5611.088619579357,17
17,5654.7805523376355,18
18,5698.520015709886,19
19,5742.722479455533,20
20,5786.428571168246,21
21,5830.072361035806,22
22,5884.680520156199,23
23,5928.453467588913,24
24,5972.42615543401,25
25,6016.135802071778,26
26,6059.843641680839,27
27,6114.998617689862,28
28,6158.930240910935,29
29,6202.636332623648,30
30,6246.248157179423,31
31,6301.072162570559,32
32,6345.14773393605,33
33,6388.889345885603,34
34,6432.597185494664,35
35,6487.277072343977,36
36,6531.23638475836,37
37,6574.946031396128,38
38,6629.612165373403,39
39,6673.845608152755,40
40,6717.5516998654675,41
41,6772.197127119049,42
42,6815.982733985621,43
43,6860.061725603544,44
44,6914.707152857125,45
45,6958.413244569838,46
46,7002.186192002551,47
47,7057.058585871711,48
48,7100.768232509479,49
49,7155.40582871953,50
50,7199.654370148366,51
51,7242.438501928364,52
52,7264.544020727679,53
53,7286.649539526994,54
54,7314.281438026138,55
55,7336.386956825453,56
56,7364.69905612012,57
57,7387.348735555854,58
58,7415.660834850521,59
59,7438.310514286254,60
60,7466.622613580921,61
61,7494.934712875588,62
62,7517.584392311322,63
63,7545.896491605989,64
64,7568.5283171222545,65
65,7596.818099017587,66
66,7619.449924533853,67
67,7647.739706429185,68
68,7676.029488324518,69
69,7698.661313840784,70
70,7726.951095736116,71
71,7749.582921252382,72
72,7777.869380876005,73
73,7806.1558404996285,74
74,7828.785008198527,75
75,7857.07146782215,76
76,7885.357927445773,77
77,7913.6443870693965,78
78,7936.273554768295,79
79,7964.560014391918,80
80,8008.297853072272,81
81,8043.288124016555,82
82,8087.025962696909,83
83,8130.763801377263,84
84,8436.92867213974,85
85,8743.093542902217,86
86,9031.763278192553,87
87,9329.18058121896,88
88,9816.322214017784,89
89,9875.729730212763,90
90,9935.137246407741,91
91,9982.663259363724,92
92,10042.070775558703,93
93,10101.478291753681,94
94,10149.004304709664,95
95,10208.411820904643,96
96,10267.818251255807,97
97,10327.224681606971,98
98,10374.749825887902,99
99,10434.156256239066,100
100,10493.56268659023,101
101,10552.969116941395,102
102,10600.494261222326,103
103,10659.90069157349,104
104,10729.678822666352,105
105,10785.501327540642,106
106,10855.279458633504,107
107,10925.057589726366,108
108,10994.835720819228,109
109,11050.658225693518,110
110,11120.43635678638,111
111,11190.214487879242,112
112,11259.990377237367,113
113,11315.749903457874,114
114,11385.36711732407,115
115,11454.8448053589,116
116,11510.34255583355,117
117,11579.621278882696,118
118,11648.789345455243,119
119,11704.052694842492,120
120,11773.04070936343,121
121,11841.94781219593,122
122,11910.805360028515,123
123,11965.8316186647,124
124,12034.567266233093,125
125,12103.262661146568,126
126,12158.171654992242,127
127,12224.50468242539,128
