,cdf,batch_size
0,0.0,0.9989999999999999
1,0.01,1.9997051226201907
2,0.02,3.001162958349363
3,0.03,4.997811098765265
4,0.04,5.995445496133053
5,0.05,7.996469989602652
6,0.06,8.997981121446852
7,0.07,10.004152608697645
8,0.08,12.001124195202623
9,0.09,13.000662984908592
10,0.1,15.014259802243886
11,0.11,16.00658858967672
12,0.12,16.996381089962515
13,0.13,19.01067154327947
14,0.14,19.985369849237582
15,0.15,21.99907771279114
16,0.16,22.988648370853415
17,0.17,24.022732262610404
18,0.18,26.023515884264672
19,0.19,26.977430211401757
20,0.2,28.991440241586453
21,0.21,29.99409814075676
22,0.22,30.969431716511867
23,0.23,33.01627645128441
24,0.24,34.021772103706674
25,0.25,35.981348045147264
26,0.26,37.003063394656856
27,0.27,37.9777595100358
28,0.28,40.004851316295785
29,0.29,40.004851316295785
30,0.3,40.004851316295785
31,0.31,40.004851316295785
32,0.32,40.976582199748535
33,0.33,40.976582199748535
34,0.34,40.976582199748535
35,0.35000000000000003,41.97191674322714
36,0.36,41.97191674322714
37,0.37,41.97191674322714
38,0.38,42.99142828733044
39,0.39,42.99142828733044
40,0.4,42.99142828733044
41,0.41000000000000003,44.03570409928742
42,0.42,44.03570409928742
43,0.43,44.03570409928742
44,0.44,45.0152251403878
45,0.45,46.01653444375361
46,0.46,47.04011666295805
47,0.47000000000000003,48.95986089487216
48,0.48,50.0489138553459
49,0.49,50.95795140178327
50,0.5,53.03758555691637
51,0.51,54.000906295163944
52,0.52,54.98172381112103
53,0.53,56.99712612291374
54,0.54,58.03236392716473
55,0.55,58.96834998281604
56,0.56,61.007747867799274
57,0.5700000000000001,61.99172297111608
58,0.58,62.99156830465424
59,0.59,65.03989765493789
60,0.6,65.95686028918864
61,0.61,67.96554640998895
62,0.62,69.0617416948185
63,0.63,70.03540615115575
64,0.64,72.02411011477574
65,0.65,73.03953941466173
66,0.66,74.06928470764261
67,0.67,76.02034057843467
68,0.68,76.93808039734769
69,0.6900000000000001,78.02278912874269
70,0.7000000000000001,78.02278912874269
71,0.71,78.02278912874269
72,0.72,78.02278912874269
73,0.73,78.02278912874269
74,0.74,78.96470309310095
75,0.75,78.96470309310095
76,0.76,78.96470309310095
77,0.77,78.96470309310095
78,0.78,80.07798409094674
79,0.79,80.07798409094674
80,0.8,80.07798409094674
81,0.81,81.04470897088486
82,0.8200000000000001,81.04470897088486
83,0.8300000000000001,81.04470897088486
84,0.84,82.02310443674119
85,0.85,82.02310443674119
86,0.86,83.01331137924744
87,0.87,83.01331137924744
88,0.88,84.01547239000945
89,0.89,84.01547239000945
90,0.9,85.02973178204074
91,0.91,85.02973178204074
92,0.92,85.02973178204074
93,0.93,86.05623561054385
94,0.9400000000000001,86.05623561054385
95,0.9500000000000001,86.92111544680155
96,0.96,86.92111544680155
97,0.97,87.97045261291906
98,0.98,87.97045261291906
99,0.99,87.97045261291906
100,1.0,87.97045261291906
