,Time (sec),request_completion
0,28.420066298881412,1
1,29.018092902484636,2
2,29.531970295990458,3
3,30.051336117496287,4
4,33.91063604408149,5
5,36.99350799032104,6
6,42.406597725207774,7
7,42.9204751187136,8
8,44.14072650226855,9
9,44.66680773577438,10
10,45.1972905172802,11
11,47.863668261000235,12
12,57.20479079078938,13
13,59.529979689266405,14
14,60.06118668277223,15
15,60.59573034427805,16
16,63.933553030389824,17
17,67.70626869920514,18
18,72.63036535225223,19
19,73.14424274575805,20
20,74.05581833339326,21
21,74.57748911489908,22
22,75.0980163764049,23
23,78.2080035337363,24
24,87.40135836297362,25
25,89.52739894071472,26
26,90.05860593422055,27
27,90.59314959572639,28
28,93.92931148183814,29
29,98.44126405341319,30
30,102.82199204443647,31
31,103.33586943794229,32
32,103.85434733944813,33
33,104.36808844095397,34
34,104.8807101824598,35
35,108.66344916456559,36
36,117.56805339269903,37
37,119.4900055007518,38
38,120.02121249425764,39
39,120.55575615576348,40
40,123.88970364187522,41
41,129.18973269639397,42
42,132.97949732520928,43
43,133.49337471871513,44
44,134.01246990022096,45
45,134.52621100172678,46
46,135.0390237832326,47
47,139.11508741804383,48
48,147.73269584507452,49
49,149.4471758468178,50
50,149.9783828403236,51
51,150.5103636218294,52
52,153.84320390794196,53
53,159.88614370522106,54
54,163.13258335201255,55
55,163.6464607455184,56
56,164.16555592702423,57
57,164.67973406853002,58
58,165.19260949003586,59
59,169.51220815483617,60
60,177.88865836094686,61
61,179.40423989688495,62
62,179.93544689039075,63
63,180.46614623189657,64
64,183.79898651800912,65
65,190.581988338048,66
66,193.6229363204103,67
67,194.13681371391615,68
68,194.65617953542198,69
69,195.17403303692782,70
70,195.68690845843366,71
71,200.29819024914747,72
72,208.38585097415418,73
73,209.70385978935633,74
74,210.23506678286213,75
75,210.76576612436796,76
76,214.43834003176846,77
77,221.79730009401496,78
78,223.72941116247804,79
79,224.2432885559839,80
80,224.7634234694897,81
81,225.28189425099555,82
82,225.79830143250135,83
83,230.6844937543884,84
84,238.48480707829123,85
85,239.60626932129858,86
86,240.1374763148044,87
87,240.6681756563102,88
88,245.41630856775848,89
89,253.29705633202852,90
90,253.81294172553433,91
91,254.32915466704017,92
92,254.843256248546,93
93,255.35658831005185,94
94,255.86720189155764,95
95,261.2354157617252,96
96,268.94162872669216,97
97,269.5262492835486,98
98,270.0574562770544,99
99,270.5879390585602,100
100,277.84695063939165,101
101,283.43505781501375,102
102,283.9509432085196,103
103,284.4709417500255,104
104,284.9851059715313,105
105,285.49878443303714,106
106,286.01125081454296,107
107,290.13264471911054,108
108,298.4959376452214,109
109,299.08055820207784,110
110,299.61176519558364,111
111,300.1422479770894,112
112,309.6964471865679,113
113,313.13530292719844,114
114,313.6511883207043,115
115,314.1728438742101,116
116,314.691737775716,117
117,315.2083609572218,118
118,315.4035197533179,119
119,318.2215057856445,120
120,325.00104606933957,121
121,325.2080832633548,122
122,325.3730182985668,123
123,326.4353622626572,124
124,334.1927050321433,125
125,334.32843302735546,126
126,334.4531853425676,127
127,334.5690259777798,128
