,Request Id,decode_time_execution_plus_preemption_normalized,cdf
127,127,0.03768682344729268,0.0078125
126,126,0.03834074107709995,0.015625
125,125,0.03910972245657984,0.0234375
124,124,0.03986079362512218,0.03125
122,122,0.0490211795822284,0.0390625
121,121,0.04973419580545846,0.046875
120,120,0.05062595286574556,0.0546875
0,0,0.0506565578336445,0.0625
1,1,0.05070549227645883,0.0703125
2,2,0.05078933477645882,0.078125
3,3,0.0510354218694264,0.0859375
4,4,0.053679654063021144,0.09375
119,119,0.05373770099546393,0.1015625
118,118,0.05520157227659184,0.109375
5,5,0.05524292797318152,0.1171875
113,113,0.0557340925035088,0.125
114,114,0.05573828057382135,0.1328125
115,115,0.05575486989413381,0.140625
116,116,0.05576923395663391,0.1484375
117,117,0.055782815831634025,0.15625
109,109,0.05642713302665425,0.1640625
110,110,0.05642949172196676,0.171875
91,91,0.05647751617318003,0.1796875
92,92,0.05647973914193005,0.1875
90,90,0.056481504141929983,0.1953125
93,93,0.05648306257943009,0.203125
89,89,0.05648628398568001,0.2109375
79,79,0.056526150046249224,0.21875
78,78,0.0565278193196867,0.2265625
80,80,0.05654166389781168,0.234375
81,81,0.05655523561656173,0.2421875
111,111,0.05655921531781327,0.25
94,94,0.056561190061564126,0.2578125
108,108,0.05658142258139209,0.265625
101,101,0.05659647916522875,0.2734375
84,84,0.05659867189388834,0.28125
102,102,0.056601376766791334,0.2890625
106,106,0.056609192235541395,0.296875
82,82,0.05661296546211231,0.3046875
103,103,0.056615578016791346,0.3125
104,104,0.05662356426679144,0.3203125
54,54,0.05662506007112328,0.328125
55,55,0.05662574814143584,0.3359375
105,105,0.05663145895429145,0.34375
42,42,0.0566348970515326,0.3515625
43,43,0.05663586887184513,0.359375
56,56,0.056639657047685865,0.3671875
57,57,0.056644844703935826,0.375
44,44,0.05664986715309514,0.3828125
45,45,0.056654960121845094,0.390625
33,33,0.056665168659758125,0.3984375
32,32,0.056674856628508075,0.40625
31,31,0.056680113503508045,0.4140625
58,58,0.0566928287172182,0.421875
36,36,0.056698683389968724,0.4296875
30,30,0.05670041902694556,0.4375
46,46,0.056702623767160065,0.4453125
48,48,0.05670504145950478,0.453125
60,60,0.05670742319597044,0.4609375
34,34,0.0567106209330831,0.46875
24,24,0.056757489449458604,0.4765625
18,18,0.056769453977844414,0.484375
19,19,0.056840434773159115,0.4921875
6,6,0.05693727751089147,0.5
85,85,0.05710659406847657,0.5078125
86,86,0.05710895276378902,0.515625
7,7,0.05711156314040615,0.5234375
21,21,0.05712655637156723,0.53125
97,97,0.05714091131517146,0.5390625
20,20,0.057141798402817245,0.546875
98,98,0.057143270010483915,0.5546875
50,50,0.05720839904137437,0.5625
62,62,0.05721319705700173,0.5703125
61,61,0.05721334117418925,0.578125
49,49,0.05721354878356191,0.5859375
38,38,0.05721901664678672,0.59375
37,37,0.05722416638897421,0.6015625
87,87,0.05723551901588553,0.609375
22,22,0.05723802902991375,0.6171875
99,99,0.05726941329383034,0.625
66,66,0.05728293097267506,0.6328125
67,67,0.05728361904298762,0.640625
26,26,0.0572870101846993,0.6484375
25,25,0.057292159926886785,0.65625
96,96,0.057295623838659326,0.6640625
68,68,0.05729793419923762,0.671875
69,69,0.05731030029298767,0.6796875
13,13,0.05731963952420637,0.6875
51,51,0.057337468105970874,0.6953125
63,63,0.057339763309098235,0.703125
14,14,0.05735083165701887,0.7109375
39,39,0.05735309133638328,0.71875
70,70,0.057359578976056924,0.7265625
52,52,0.05737360724455129,0.734375
72,72,0.05737647757566622,0.7421875
64,64,0.05737806494767711,0.75
40,40,0.0573870679749621,0.7578125
27,27,0.057421084874295855,0.765625
28,28,0.05745614276287467,0.7734375
15,15,0.05747412888769443,0.78125
16,16,0.05750918677627315,0.7890625
8,8,0.0577841249018407,0.796875
9,9,0.0578114263080907,0.8046875
73,73,0.057882395553885024,0.8125
74,74,0.05788475424919748,0.8203125
10,10,0.05798911329525294,0.828125
75,75,0.058011320501293984,0.8359375
77,77,0.06230782865585905,0.84375
65,65,0.06434022238455231,0.8515625
107,107,0.06542466315535883,0.859375
53,53,0.06589013228002324,0.8671875
41,41,0.06763194638144462,0.875
112,112,0.06917007962460135,0.8828125
29,29,0.06947090967131699,0.890625
17,17,0.07122491761708657,0.8984375
123,123,0.0734220989993113,0.90625
76,76,0.07747716535284244,0.9140625
88,88,0.0777487344734873,0.921875
100,100,0.07787879881363495,0.9296875
83,83,0.08189035755050673,0.9375
95,95,0.08189264658601186,0.9453125
12,12,0.08324844673904779,0.953125
71,71,0.08438436273032067,0.9609375
59,59,0.08472148460209046,0.96875
47,47,0.08609936627268519,0.9765625
35,35,0.08762547646326338,0.984375
23,23,0.08886321527128237,0.9921875
11,11,0.10304815177807697,1.0
