,Request Id,prefill_time_execution_plus_preemption,cdf
0,0,0.4437881135058279,0.0078125
4,4,0.5113254352828829,0.015625
3,3,0.514532725282884,0.0234375
5,5,0.5173899252828846,0.03125
7,7,0.5556236865707636,0.0390625
10,10,0.5698587794552115,0.046875
1,1,0.5729721688822846,0.0546875
119,119,0.5751581568564461,0.0625
23,23,0.5751581568564745,0.0703125
35,35,0.5751581568564745,0.078125
47,47,0.5751581568564745,0.0859375
59,59,0.575158156856503,0.09375
71,71,0.5763802368564939,0.1015625
16,16,0.5782133568564802,0.109375
40,40,0.5782133568564802,0.1171875
52,52,0.5782133568564802,0.125
64,64,0.5782133568564802,0.1328125
76,76,0.5782133568564802,0.140625
83,83,0.5782133568564802,0.1484375
88,88,0.5782133568564802,0.15625
95,95,0.5782133568564802,0.1640625
100,100,0.5782133568564802,0.171875
28,28,0.5782133568564873,0.1796875
127,127,0.5816345970499697,0.1875
53,53,0.5846205568564642,0.1953125
65,65,0.5846205568564642,0.203125
108,108,0.5846205568564642,0.2109375
112,112,0.5846205568564642,0.21875
120,120,0.5846205568564642,0.2265625
17,17,0.5846205568564784,0.234375
29,29,0.5846205568564784,0.2421875
41,41,0.5846205568564784,0.25
2,2,0.5901564888822848,0.2578125
12,12,0.5943340707409277,0.265625
22,22,0.5948549958088591,0.2734375
123,123,0.595379635808797,0.28125
111,111,0.5959906758088209,0.2890625
39,39,0.5978237958088499,0.296875
51,51,0.5978237958088499,0.3046875
27,27,0.597823795808857,0.3125
63,63,0.5978237958088641,0.3203125
75,75,0.5978237958088641,0.328125
87,87,0.5978237958088641,0.3359375
99,99,0.5978237958088641,0.34375
94,94,0.598807966029625,0.3515625
15,15,0.6004364147763894,0.359375
72,72,0.6065587009603632,0.3671875
84,84,0.6065587009603632,0.375
77,77,0.6067531216811801,0.3828125
19,19,0.6067727216811534,0.390625
96,96,0.6075848495015066,0.3984375
60,60,0.6078844460296295,0.40625
82,82,0.6150451559603596,0.4140625
70,70,0.6158403911508401,0.421875
46,46,0.6162160904810179,0.4296875
58,58,0.6165032620817215,0.4375
34,34,0.6171572729398918,0.4453125
48,48,0.6177838316032194,0.453125
118,118,0.6205625916541067,0.4609375
24,24,0.6228555805556155,0.46875
36,36,0.6230917405555942,0.4765625
6,6,0.6326444888822866,0.484375
8,8,0.6326607288822856,0.4921875
105,105,0.636275556882282,0.5
117,117,0.6363084368822456,0.5078125
104,104,0.6372527568822477,0.515625
45,45,0.6381612368822971,0.5234375
57,57,0.6385497968822733,0.53125
69,69,0.6385497968822733,0.5390625
81,81,0.6387051568822812,0.546875
93,93,0.6389588368822956,0.5546875
116,116,0.6391055568822708,0.5625
44,44,0.6396494768822834,0.5703125
56,56,0.6398405168822876,0.578125
68,68,0.6399031568822977,0.5859375
80,80,0.6400585168823056,0.59375
103,103,0.6405095568823072,0.6015625
115,115,0.6412445168822956,0.609375
43,43,0.6414625168822994,0.6171875
55,55,0.6416077968822833,0.625
102,102,0.6418836368822838,0.6328125
67,67,0.6420448368822633,0.640625
114,114,0.6422469168823,0.6484375
9,9,0.6430827288822858,0.65625
92,92,0.6437355568822625,0.6640625
18,18,0.6439297968822899,0.671875
101,101,0.6447187568822983,0.6796875
79,79,0.6457201968823085,0.6875
14,14,0.6462247568822832,0.6953125
42,42,0.6465605968822956,0.703125
89,89,0.6466677688823097,0.7109375
30,30,0.6471347568822949,0.71875
54,54,0.6471778768822958,0.7265625
33,33,0.647421636882271,0.734375
66,66,0.6476149168822758,0.7421875
113,113,0.648504356882313,0.75
124,124,0.648675768882299,0.7578125
91,91,0.6492429168822866,0.765625
126,126,0.6498820368823317,0.7734375
32,32,0.6501062768822692,0.78125
13,13,0.6503539568822845,0.7890625
78,78,0.6503539568822987,0.796875
90,90,0.6511230488822832,0.8046875
106,106,0.6518134768822961,0.8125
125,125,0.6530668088822722,0.8203125
31,31,0.6535113168822875,0.828125
107,107,0.6554526131725424,0.8359375
20,20,0.6584910488822828,0.84375
11,11,0.6592102488822835,0.8515625
21,21,0.6618845168822816,0.859375
110,110,0.6624091568822337,0.8671875
122,122,0.6624091568822337,0.875
74,74,0.6626257168822747,0.8828125
86,86,0.6626257168822747,0.890625
98,98,0.6626257168822747,0.8984375
109,109,0.6636168088822387,0.90625
121,121,0.6636168088822387,0.9140625
61,61,0.6638333688822513,0.921875
73,73,0.6638333688822513,0.9296875
85,85,0.6638333688822513,0.9375
97,97,0.6638333688822513,0.9453125
25,25,0.6638333688822797,0.953125
37,37,0.6638333688822939,0.9609375
49,49,0.6638333688822939,0.96875
62,62,0.6639071568822601,0.9765625
26,26,0.6664700368822807,0.984375
38,38,0.6664700368822878,0.9921875
50,50,0.6664700368822878,1.0
