,Request Id,request_e2e_time_normalized,cdf
0,0,0.05152333149283557,0.0078125
2,2,0.05233973420938564,0.015625
3,3,0.05236745579174033,0.0234375
1,1,0.052592411425487415,0.03125
4,4,0.05469580458269549,0.0390625
5,5,0.056306206787075104,0.046875
6,6,0.058178303536653174,0.0546875
7,7,0.05882668749034983,0.0625
8,8,0.05906918566371306,0.0703125
9,9,0.059978523318187885,0.078125
10,10,0.060050885407223385,0.0859375
15,15,0.07923017078739453,0.09375
14,14,0.08126164509790035,0.1015625
22,22,0.08389969789073382,0.109375
13,13,0.08432370956848495,0.1171875
21,21,0.08450763326474034,0.125
16,16,0.08477659627211742,0.1328125
12,12,0.08549054604330152,0.140625
20,20,0.08816761197653947,0.1484375
34,34,0.0882302825915294,0.15625
33,33,0.08908717248252969,0.1640625
18,18,0.0918112031487047,0.171875
19,19,0.09278940130573066,0.1796875
39,39,0.0939440215554386,0.1875
24,24,0.09555081009853496,0.1953125
40,40,0.09569263159765751,0.203125
38,38,0.09626411573745394,0.2109375
25,25,0.09810022946958755,0.21875
28,28,0.09857425756565388,0.2265625
26,26,0.09875753745948192,0.234375
27,27,0.09940422943509632,0.2421875
32,32,0.09980252189365109,0.25
31,31,0.10179128546114036,0.2578125
37,37,0.10295464870069806,0.265625
36,36,0.10296527429093422,0.2734375
11,11,0.1052782895279148,0.28125
30,30,0.10589832348338003,0.2890625
17,17,0.10732556867029767,0.296875
43,43,0.11192177367045525,0.3046875
42,42,0.11225259382837227,0.3125
45,45,0.1125790656339507,0.3203125
44,44,0.11261080518722841,0.328125
46,46,0.11316473968176882,0.3359375
41,41,0.12152655011660454,0.34375
29,29,0.1224209067080134,0.3515625
48,48,0.13274055052324607,0.359375
50,50,0.13354779551329288,0.3671875
51,51,0.133668466897274,0.375
49,49,0.13431623009727547,0.3828125
57,57,0.135768227850755,0.390625
58,58,0.1360730149989776,0.3984375
23,23,0.1365034625110823,0.40625
35,35,0.13885788321992926,0.4140625
52,52,0.13896472010788447,0.421875
55,55,0.13958529886858972,0.4296875
56,56,0.13986594420215925,0.4375
64,64,0.13992372778289042,0.4453125
63,63,0.14064305040629368,0.453125
54,54,0.14225109625625904,0.4609375
62,62,0.14411417977575647,0.46875
61,61,0.1462566351406571,0.4765625
60,60,0.14728733753320083,0.484375
66,66,0.1522508247025998,0.4921875
69,69,0.15245513222910972,0.5
70,70,0.15253118885756392,0.5078125
68,68,0.15266096848825225,0.515625
67,67,0.15312704322577472,0.5234375
75,75,0.15502706143967077,0.53125
74,74,0.1559576167544937,0.5390625
53,53,0.1568371354613236,0.546875
72,72,0.15798395099074714,0.5546875
73,73,0.15908214670699405,0.5625
65,65,0.16117891619741476,0.5703125
82,82,0.16223058198542284,0.578125
81,81,0.16465353531106902,0.5859375
80,80,0.1648315878832029,0.59375
87,87,0.16490280107602617,0.6015625
86,86,0.16664902739057696,0.609375
79,79,0.16703481966194428,0.6171875
78,78,0.16713738528321287,0.625
99,99,0.17397551417527596,0.6328125
77,77,0.174446529410151,0.640625
84,84,0.1761070598061779,0.6484375
47,47,0.17684444723902093,0.65625
85,85,0.17733026373138594,0.6640625
93,93,0.18044211045573455,0.671875
98,98,0.18064135922870694,0.6796875
94,94,0.18118301455116975,0.6875
92,92,0.18158192364726083,0.6953125
105,105,0.18537736201237887,0.703125
106,106,0.18591624418681457,0.7109375
91,91,0.18671297068154818,0.71875
118,118,0.1876502937981387,0.7265625
111,111,0.18786300267093975,0.734375
110,110,0.18802102618558714,0.7421875
104,104,0.18837535910128883,0.75
103,103,0.18858351929283462,0.7578125
89,89,0.18900775149422033,0.765625
90,90,0.1895616696128437,0.7734375
102,102,0.19057556958582517,0.78125
117,117,0.1909369818382582,0.7890625
97,97,0.19132259556951592,0.796875
122,122,0.19194001128958904,0.8046875
119,119,0.19250626324897807,0.8125
96,96,0.19312271161218092,0.8203125
116,116,0.19390739526116302,0.828125
101,101,0.19403983061997065,0.8359375
115,115,0.1942785231169002,0.84375
127,127,0.1950014530582418,0.8515625
109,109,0.19513307678962155,0.859375
107,107,0.19712747516274623,0.8671875
121,121,0.1975081220106742,0.875
120,120,0.20013179844939005,0.8828125
114,114,0.2012448904129736,0.890625
76,76,0.20135782999537033,0.8984375
125,125,0.2049461318362616,0.90625
126,126,0.20511295700866888,0.9140625
108,108,0.20570998976451127,0.921875
124,124,0.20621147982665644,0.9296875
59,59,0.20748484832638675,0.9375
113,113,0.20975909306250995,0.9453125
71,71,0.21503074825497098,0.953125
88,88,0.2275901432122316,0.9609375
83,83,0.2290828440270494,0.96875
112,112,0.2308659654612605,0.9765625
100,100,0.23548014660916616,0.984375
95,95,0.26549894912696637,0.9921875
123,123,0.2794973686320223,1.0
