,Request Id,prefill_time_execution_plus_preemption_normalized,cdf
33,33,7.536320610864594e-05,0.0078125
0,0,7.536320610864833e-05,0.015625
98,98,7.536320610866676e-05,0.0234375
1,1,8.307317642450122e-05,0.03125
25,25,8.307317642450643e-05,0.0390625
34,34,8.324411392449799e-05,0.046875
87,87,8.32441139245188e-05,0.0546875
97,97,8.32441139245188e-05,0.0625
61,61,8.32994264244949e-05,0.0703125
65,65,8.341911392450302e-05,0.078125
72,72,8.346880142449248e-05,0.0859375
6,6,8.346880142450115e-05,0.09375
115,115,8.34688014245133e-05,0.1015625
109,109,8.353692642448785e-05,0.109375
110,110,8.353692642448785e-05,0.1171875
60,60,8.365005142450116e-05,0.125
86,86,8.365005142452198e-05,0.1328125
2,2,8.503230427668379e-05,0.140625
26,26,8.503230427668595e-05,0.1484375
78,78,8.515136677667012e-05,0.15625
35,35,8.525699177668045e-05,0.1640625
7,7,8.525699177668478e-05,0.171875
112,112,8.52569917767082e-05,0.1796875
55,55,8.546105427667539e-05,0.1875
62,62,8.546105427667539e-05,0.1953125
73,73,8.546105427667539e-05,0.203125
74,74,8.546105427667539e-05,0.2109375
84,84,8.546105427667539e-05,0.21875
101,101,8.546105427667539e-05,0.2265625
111,111,8.546105427667539e-05,0.234375
116,116,8.546105427667539e-05,0.2421875
117,117,8.546105427667539e-05,0.25
32,32,8.54610542766858e-05,0.2578125
37,37,8.547917927667625e-05,0.265625
39,39,8.547917927667625e-05,0.2734375
77,77,8.547917927670401e-05,0.28125
122,122,8.547917927670401e-05,0.2890625
30,30,8.562667927668535e-05,0.296875
31,31,8.562667927668535e-05,0.3046875
38,38,8.563105427668305e-05,0.3125
64,64,8.563105427668305e-05,0.3203125
76,76,8.563105427668305e-05,0.328125
24,24,8.573855427668198e-05,0.3359375
36,36,8.631355427667076e-05,0.34375
3,3,8.650480427668393e-05,0.3515625
27,27,8.650480427668458e-05,0.359375
79,79,8.665667927669485e-05,0.3671875
113,113,8.665667927669485e-05,0.375
85,85,8.673355427668561e-05,0.3828125
104,104,8.673355427668561e-05,0.390625
56,56,8.673355427669255e-05,0.3984375
63,63,8.689217927668191e-05,0.40625
75,75,8.69604292766668e-05,0.4140625
57,57,8.705917927667728e-05,0.421875
118,118,8.705917927670503e-05,0.4296875
120,120,8.705917927670503e-05,0.4375
102,102,8.717092927668091e-05,0.4453125
100,100,8.720802302669695e-05,0.453125
54,54,8.724542927668333e-05,0.4609375
21,21,8.724542927668506e-05,0.46875
83,83,8.734386677668182e-05,0.4765625
114,114,8.734386677668182e-05,0.484375
96,96,8.755792927668538e-05,0.4921875
67,67,8.86955209441001e-05,0.5
41,41,8.880145844410159e-05,0.5078125
20,20,8.91831146941028e-05,0.515625
68,68,8.974223969409473e-05,0.5234375
42,42,8.978442719410895e-05,0.53125
80,80,8.998711469410114e-05,0.5390625
119,119,9.012223969409594e-05,0.546875
4,4,9.012223969410245e-05,0.5546875
58,58,9.012223969410288e-05,0.5625
22,22,9.028786469410244e-05,0.5703125
28,28,9.028786469410244e-05,0.578125
105,105,9.028786469410244e-05,0.5859375
121,121,9.028786469410244e-05,0.59375
103,103,9.055973969410158e-05,0.6015625
127,127,9.065473969412097e-05,0.609375
69,69,9.072181365642196e-05,0.6171875
10,10,9.072181365642456e-05,0.625
91,91,9.072181365643583e-05,0.6328125
81,81,9.084731365643917e-05,0.640625
59,59,9.103556365641641e-05,0.6484375
106,106,9.103556365644416e-05,0.65625
107,107,9.103556365644416e-05,0.6640625
90,90,9.11675558649544e-05,0.671875
23,23,9.118556365642419e-05,0.6796875
5,5,9.150587615642386e-05,0.6875
29,29,9.150587615642386e-05,0.6953125
53,53,9.15058761564308e-05,0.703125
9,9,9.159703240642445e-05,0.7109375
70,70,9.160806365642732e-05,0.71875
124,124,9.18870324064236e-05,0.7265625
108,108,9.196956365641051e-05,0.734375
71,71,9.199450115641994e-05,0.7421875
82,82,9.207806365643667e-05,0.75
92,92,9.245587615643036e-05,0.7578125
19,19,9.318418378328856e-05,0.765625
12,12,9.363127298558059e-05,0.7734375
44,44,9.369214798557457e-05,0.78125
126,126,9.375489798559011e-05,0.7890625
99,99,9.840199422436746e-05,0.796875
13,13,9.850674336496675e-05,0.8046875
45,45,9.866049336496735e-05,0.8125
46,46,9.897533711496903e-05,0.8203125
47,47,9.912727753328548e-05,0.828125
14,14,9.956299336496763e-05,0.8359375
48,48,9.977618378329695e-05,0.84375
88,88,0.00010004418172435137,0.8515625
95,95,0.00010004799336497949,0.859375
66,66,0.00010014980672434781,0.8671875
49,49,0.00010019364798558722,0.875
50,50,0.00010019364798558722,0.8828125
15,15,0.00010021743378328847,0.890625
17,17,0.00010021743378328847,0.8984375
40,40,0.00010037199422434362,0.90625
16,16,0.00010050114798557802,0.9140625
94,94,0.00010051228111222776,0.921875
51,51,0.0001009214604855771,0.9296875
8,8,0.00010185324422435239,0.9375
123,123,0.0001019519942243724,0.9453125
52,52,0.00010235003111223884,0.953125
89,89,0.00010331955672436555,0.9609375
18,18,0.00010527696297435093,0.96875
43,43,0.00010538265047434908,0.9765625
11,11,0.00010538265047435168,0.984375
125,125,0.00010569640047436435,0.9921875
93,93,0.00010711671297435055,1.0
