,Request Id,request_execution_time_normalized,cdf
97,97,0.01115097278130182,0.0078125
127,127,0.011277718284380204,0.015625
98,98,0.011287600135208886,0.0234375
109,109,0.011355888891472314,0.03125
32,32,0.011379342042710574,0.0390625
96,96,0.011544497842091585,0.046875
114,114,0.011718920402881016,0.0546875
31,31,0.0118235586035003,0.0625
71,71,0.011825551190399984,0.0703125
63,63,0.011849923853500186,0.078125
37,37,0.011933526664289807,0.0859375
60,60,0.011999260690853292,0.09375
36,36,0.012016131164289939,0.1015625
33,33,0.01206392042760783,0.109375
30,30,0.012191276414289761,0.1171875
34,34,0.01224597565288118,0.125
61,61,0.012251632902881086,0.1328125
85,85,0.012260481092091574,0.140625
62,62,0.012304386164289973,0.1484375
84,84,0.012320650103500343,0.15625
35,35,0.012357546664289796,0.1640625
29,29,0.012452850451808842,0.171875
83,83,0.012696484914289917,0.1796875
75,75,0.012732751164289884,0.1875
74,74,0.012788342664289971,0.1953125
73,73,0.012801299414289983,0.203125
23,23,0.012886931391019287,0.2109375
100,100,0.012890622091749264,0.21875
59,59,0.012937996129610538,0.2265625
72,72,0.01294528796367095,0.234375
4,4,0.012951290382688899,0.2421875
28,28,0.013004076693478465,0.25
113,113,0.013048272353500272,0.2578125
116,116,0.013099013716749328,0.265625
99,99,0.01310018039113019,0.2734375
115,115,0.013118804016130203,0.28125
22,22,0.01319203244347861,0.2890625
58,58,0.01323341388268891,0.296875
112,112,0.01329879891428993,0.3046875
21,21,0.013351647943478578,0.3125
110,110,0.013371912963670895,0.3203125
108,108,0.013449770879610506,0.328125
111,111,0.013456978975079628,0.3359375
5,5,0.013501803311398304,0.34375
57,57,0.013521240193478572,0.3515625
53,53,0.013528949262598627,0.359375
95,95,0.013544241985349445,0.3671875
119,119,0.013716609397629323,0.375
20,20,0.013795533495938003,0.3828125
117,117,0.013797765269208615,0.390625
27,27,0.013838660943478534,0.3984375
3,3,0.013842101943478466,0.40625
126,126,0.013856833720005526,0.4140625
107,107,0.013869352678538192,0.421875
101,101,0.013901009867517345,0.4296875
54,54,0.013939615625847588,0.4375
118,118,0.013977767708419004,0.4453125
2,2,0.014055087754268166,0.453125
26,26,0.014063773754268215,0.4609375
125,125,0.014104264019386465,0.46875
1,1,0.014109413553649128,0.4765625
64,64,0.014114947568008391,0.484375
82,82,0.014123417762598608,0.4921875
56,56,0.014156726754268266,0.5
121,121,0.01417334035286573,0.5078125
24,24,0.014186143864438831,0.515625
81,81,0.01418708598932787,0.5234375
25,25,0.014255046553649155,0.53125
122,122,0.01426025405040635,0.5390625
120,120,0.01427357366365529,0.546875
0,0,0.014279609471766659,0.5546875
19,19,0.014289153074753983,0.5625
86,86,0.014308683818204791,0.5703125
55,55,0.014317080315057951,0.578125
94,94,0.014330751953481293,0.5859375
106,106,0.014424521026846803,0.59375
124,124,0.014448992742695059,0.6015625
70,70,0.014468391928538066,0.609375
18,18,0.014518520124134925,0.6171875
80,80,0.014525098291787223,0.625
93,93,0.014577429252862236,0.6328125
76,76,0.014599611974156193,0.640625
38,38,0.014629150046483125,0.6484375
123,123,0.014668283042076001,0.65625
79,79,0.014681068291787157,0.6640625
105,105,0.014681690329306149,0.671875
78,78,0.01478897660257685,0.6796875
69,69,0.014822570276846686,0.6875
77,77,0.014831121413366547,0.6953125
92,92,0.014833647040381237,0.703125
104,104,0.014837347890095847,0.7109375
103,103,0.014983050442555216,0.71875
102,102,0.015061802003344824,0.7265625
68,68,0.015153547329306035,0.734375
91,91,0.015322083138689784,0.7421875
67,67,0.015354726756765406,0.75
65,65,0.015364421507218692,0.7578125
90,90,0.01551443920583256,0.765625
66,66,0.015565789056146353,0.7734375
17,17,0.015622575334647414,0.78125
89,89,0.015736053880213506,0.7890625
88,88,0.015922667179594462,0.796875
87,87,0.016067210478975427,0.8046875
52,52,0.016201215091293904,0.8125
39,39,0.01648621974031332,0.8203125
16,16,0.016613838284189202,0.828125
51,51,0.01677267528931989,0.8359375
15,15,0.016853103528772163,0.84375
50,50,0.016954786335286378,0.8515625
7,7,0.017512275288612583,0.859375
49,49,0.017559303011487074,0.8671875
6,6,0.017666209769541124,0.875
14,14,0.0176858137700221,0.8828125
48,48,0.018116292558061145,0.890625
10,10,0.018165931242282742,0.8984375
13,13,0.01817789580516733,0.90625
9,9,0.01825658871559139,0.9140625
12,12,0.0184112178445932,0.921875
8,8,0.01844484896933742,0.9296875
11,11,0.01863620014397414,0.9375
47,47,0.018801093357120262,0.9453125
46,46,0.019208820332298777,0.953125
45,45,0.019437392899441585,0.9609375
44,44,0.019611730210066847,0.96875
41,41,0.019653175739862416,0.9765625
42,42,0.019674529109030083,0.984375
43,43,0.019809370880479533,0.9921875
40,40,0.019826304993608424,1.0
