,Request Id,decode_time_execution_plus_preemption_normalized,cdf
97,97,0.0108179963255996,0.0078125
127,127,0.010915099325599531,0.015625
98,98,0.010986147310774075,0.0234375
109,109,0.011021741185773148,0.03125
32,32,0.011037497825603718,0.0390625
96,96,0.01119426612498009,0.046875
114,114,0.011369544935773135,0.0546875
71,71,0.011457573185776698,0.0625
31,31,0.011481051886393381,0.0703125
63,63,0.011502355136391668,0.078125
37,37,0.011591609947181891,0.0859375
60,60,0.011664660485153439,0.09375
36,36,0.011670876947181053,0.1015625
33,33,0.01176246760317358,0.109375
30,30,0.01184876969718325,0.1171875
34,34,0.01191299919718282,0.125
85,85,0.011913546874985692,0.1328125
61,61,0.011918435197180471,0.140625
62,62,0.0119625419471808,0.1484375
84,84,0.011978805886395272,0.15625
35,35,0.012016518697181955,0.1640625
29,29,0.012086826947183174,0.171875
83,83,0.012347109447184201,0.1796875
75,75,0.012384909447179737,0.1875
74,74,0.012446498447181376,0.1953125
73,73,0.012459455197184,0.203125
23,23,0.012522189136395051,0.2109375
100,100,0.01254178999964467,0.21875
59,59,0.012573853874985774,0.2265625
4,4,0.012590801423912503,0.234375
72,72,0.01261141275797445,0.2421875
28,28,0.012642925234702743,0.25
113,113,0.012701645636391756,0.2578125
99,99,0.012706572414235007,0.265625
116,116,0.012757169499642729,0.2734375
115,115,0.01278492881043175,0.28125
22,22,0.012830880984703669,0.2890625
58,58,0.012872924923914314,0.296875
112,112,0.012957770947181646,0.3046875
21,21,0.01300266622637318,0.3125
110,110,0.013037765257973122,0.3203125
108,108,0.013081892624981106,0.328125
111,111,0.013115134757973268,0.3359375
5,5,0.01313577980677266,0.34375
95,95,0.013144050011886066,0.3515625
53,53,0.013162925757970872,0.359375
57,57,0.013173003476373513,0.3671875
119,119,0.013356120438851316,0.375
20,20,0.013438801037162468,0.3828125
117,117,0.013455921052102138,0.390625
126,126,0.013481814128057545,0.3984375
27,27,0.01349264172637303,0.40625
3,3,0.013496082726371946,0.4140625
107,107,0.013505210423909675,0.421875
101,101,0.013559165650412264,0.4296875
54,54,0.013590633908740074,0.4375
118,118,0.013629530991310701,0.4453125
125,125,0.013681478417483517,0.453125
2,2,0.013714958537161603,0.4609375
26,26,0.013723644537162696,0.46875
82,82,0.013755105507969767,0.4765625
64,64,0.013772423350901342,0.484375
1,1,0.013777120847951336,0.4921875
56,56,0.013809792537162469,0.5
121,121,0.013812188894088917,0.5078125
81,81,0.013823696734699242,0.515625
24,24,0.013843189647333165,0.5234375
19,19,0.013916416339620714,0.53125
122,122,0.013918337333295616,0.5390625
25,25,0.013922753847952343,0.546875
120,120,0.013925336946547462,0.5546875
94,94,0.013928702829030137,0.5625
86,86,0.013974083612507293,0.5703125
55,55,0.013975236097952148,0.578125
0,0,0.013978156647332285,0.5859375
106,106,0.014060378772217719,0.59375
124,124,0.01408144461306371,0.6015625
18,18,0.01409741227223741,0.609375
70,70,0.014101959673910869,0.6171875
93,93,0.014148962400962639,0.625
80,80,0.014165149833007706,0.6328125
76,76,0.014257087757048537,0.640625
123,123,0.014260475065172973,0.6484375
38,38,0.014286625829375427,0.65625
105,105,0.014320538870526256,0.6640625
79,79,0.014334441574678614,0.671875
78,78,0.014448371135468985,0.6796875
69,69,0.014459683022219755,0.6875
92,92,0.014463823535752762,0.6953125
77,77,0.014489204696259583,0.703125
104,104,0.014490413672987423,0.7109375
103,103,0.014620811483778473,0.71875
102,102,0.014713118286238502,0.7265625
68,68,0.014794578370528583,0.734375
91,91,0.014959195884064191,0.7421875
67,67,0.014999944672988236,0.75
65,65,0.015030745051519578,0.7578125
90,90,0.015149768982375522,0.765625
66,66,0.015165189829248166,0.7734375
17,17,0.015221705599513781,0.78125
89,89,0.015322775653318854,0.7890625
88,88,0.015522490452699822,0.796875
87,87,0.015734234023280003,0.8046875
52,52,0.015791814966843842,0.8125
39,39,0.016144303023206075,0.8203125
16,16,0.016211833692246665,0.828125
51,51,0.016368989447376248,0.8359375
15,15,0.016452233793638756,0.84375
50,50,0.01655401174334306,0.8515625
49,49,0.01715852841954349,0.859375
7,7,0.017171247321505673,0.8671875
14,14,0.01728756179656204,0.875
6,6,0.017332334563842967,0.8828125
48,48,0.01771718782292625,0.890625
13,13,0.017783868831707343,0.8984375
10,10,0.017803043987657006,0.90625
9,9,0.017890200585965625,0.9140625
12,12,0.0180366927526507,0.921875
8,8,0.01803743599243993,0.9296875
11,11,0.018214669542076567,0.9375
47,47,0.01840458424698571,0.9453125
46,46,0.01881291898383794,0.953125
45,45,0.019042750925980817,0.9609375
44,44,0.019236961618123605,0.96875
41,41,0.01929796990608529,0.9765625
42,42,0.01931539140025293,0.984375
43,43,0.019387840278581148,0.9921875
40,40,0.01942481701671031,1.0
