,cdf,batch_num_decode_tokens
0,0.0,0.0
1,0.01,0.9989999999999999
2,0.02,3.001162958349363
3,0.03,4.002823400834266
4,0.04,5.995445496133053
5,0.05,6.993632892422741
6,0.06,7.996469989602652
7,0.07,10.004152608697645
8,0.08,10.990159692286051
9,0.09,13.000662984908592
10,0.1,13.999202723426244
11,0.11,16.00658858967672
12,0.12,16.996381089962515
13,0.13,18.0113202620591
14,0.14,19.985369849237582
15,0.15,21.010042023055906
16,0.16,21.99907771279114
17,0.17,24.022732262610404
18,0.18,25.003118897839112
19,0.19,26.977430211401757
20,0.2,28.022299698332315
21,0.21,28.991440241586453
22,0.22,30.969431716511867
23,0.23,31.976480717732706
24,0.24,34.021772103706674
25,0.25,34.98784393437458
26,0.26,35.981348045147264
27,0.27,37.9777595100358
28,0.28,38.97813005423709
29,0.29,40.004851316295785
30,0.3,40.004851316295785
31,0.31,40.004851316295785
32,0.32,40.976582199748535
33,0.33,40.976582199748535
34,0.34,40.976582199748535
35,0.35000000000000003,40.976582199748535
36,0.36,41.97191674322714
37,0.37,41.97191674322714
38,0.38,41.97191674322714
39,0.39,42.99142828733044
40,0.4,42.99142828733044
41,0.41000000000000003,42.99142828733044
42,0.42,44.03570409928742
43,0.43,44.03570409928742
44,0.44,44.03570409928742
45,0.45,45.0152251403878
46,0.46,47.04011666295805
47,0.47000000000000003,47.990390374500834
48,0.48,48.95986089487216
49,0.49,50.95795140178327
50,0.5,51.98737065170029
51,0.51,53.03758555691637
52,0.52,54.98172381112103
53,0.53,55.98035589845489
54,0.54,58.03236392716473
55,0.55,58.96834998281604
56,0.56,60.03939109153555
57,0.5700000000000001,61.007747867799274
58,0.58,62.99156830465424
59,0.59,64.0075398344503
60,0.6,65.95686028918864
61,0.61,67.0206580966104
62,0.62,67.96554640998895
63,0.63,70.03540615115575
64,0.64,71.02279778045839
65,0.65,72.02411011477574
66,0.66,74.06928470764261
67,0.67,74.96347080859108
68,0.68,76.02034057843467
69,0.6900000000000001,76.02034057843467
70,0.7000000000000001,76.93808039734769
71,0.71,76.93808039734769
72,0.72,76.93808039734769
73,0.73,76.93808039734769
74,0.74,76.93808039734769
75,0.75,78.02278912874269
76,0.76,78.02278912874269
77,0.77,78.02278912874269
78,0.78,78.96470309310095
79,0.79,78.96470309310095
80,0.8,78.96470309310095
81,0.81,78.96470309310095
82,0.8200000000000001,80.07798409094674
83,0.8300000000000001,80.07798409094674
84,0.84,80.07798409094674
85,0.85,81.04470897088486
86,0.86,81.04470897088486
87,0.87,82.02310443674119
88,0.88,83.01331137924744
89,0.89,84.01547239000945
90,0.9,84.01547239000945
91,0.91,85.02973178204074
92,0.92,85.02973178204074
93,0.93,86.05623561054385
94,0.9400000000000001,86.05623561054385
95,0.9500000000000001,86.92111544680155
96,0.96,86.92111544680155
97,0.97,86.92111544680155
98,0.98,87.97045261291906
99,0.99,87.97045261291906
100,1.0,87.97045261291906
