,cdf,batch_execution_time
0,0.0,5.5234356645056994
1,0.01,5.5234356645056994
2,0.02,5.5234356645056994
3,0.03,5.5234356645056994
4,0.04,5.5234356645056994
5,0.05,5.5234356645056994
6,0.06,5.5234356645056994
7,0.07,5.5234356645056994
8,0.08,5.5234356645056994
9,0.09,5.5234356645056994
10,0.1,5.5234356645056994
11,0.11,5.5234356645056994
12,0.12,5.5234356645056994
13,0.13,5.657601717905779
14,0.14,5.657601717905779
15,0.15,5.657601717905779
16,0.16,5.657601717905779
17,0.17,5.657601717905779
18,0.18,5.657601717905779
19,0.19,5.657601717905779
20,0.2,5.657601717905779
21,0.21,5.657601717905779
22,0.22,8.749532085529808
23,0.23,8.749532085529808
24,0.24,8.749532085529808
25,0.25,8.749532085529808
26,0.26,8.749532085529808
27,0.27,8.749532085529808
28,0.28,8.749532085529808
29,0.29,8.749532085529808
30,0.3,8.749532085529808
31,0.31,8.749532085529808
32,0.32,8.749532085529808
33,0.33,8.749532085529808
34,0.34,8.749532085529808
35,0.35000000000000003,10.729535769699918
36,0.36,10.77253987799119
37,0.37,10.837369433045545
38,0.38,10.902589134830023
39,0.39,10.902589134830023
40,0.4,10.902589134830023
41,0.41000000000000003,10.902589134830023
42,0.42,10.902589134830023
43,0.43,10.902589134830023
44,0.44,10.902589134830023
45,0.45,10.902589134830023
46,0.46,10.902589134830023
47,0.47000000000000003,10.902589134830023
48,0.48,10.902589134830023
49,0.49,10.902589134830023
50,0.5,10.902589134830023
51,0.51,10.902589134830023
52,0.52,10.902589134830023
53,0.53,10.902589134830023
54,0.54,10.902589134830023
55,0.55,10.902589134830023
56,0.56,10.902589134830023
57,0.5700000000000001,10.902589134830023
58,0.58,10.902589134830023
59,0.59,10.902589134830023
60,0.6,10.902589134830023
61,0.61,10.902589134830023
62,0.62,10.902589134830023
63,0.63,10.902589134830023
64,0.64,10.902589134830023
65,0.65,10.902589134830023
66,0.66,10.902589134830023
67,0.67,10.902589134830023
68,0.68,10.924416140104958
69,0.6900000000000001,10.946286843088153
70,0.7000000000000001,10.990159692286051
71,0.71,10.990159692286051
72,0.72,11.01216201399233
73,0.73,11.034208384390714
74,0.74,11.034208384390714
75,0.75,11.056298891666769
76,0.76,11.056298891666769
77,0.77,11.078433624182619
78,0.78,11.078433624182619
79,0.79,11.10061267047728
80,0.8,11.145104059445735
81,0.81,11.370250171985887
82,0.8200000000000001,11.881710974657745
83,0.8300000000000001,11.881710974657745
84,0.84,11.881710974657745
85,0.85,11.881710974657745
86,0.86,11.881710974657745
87,0.87,11.881710974657745
88,0.88,11.881710974657745
89,0.89,11.881710974657745
90,0.9,11.881710974657745
91,0.91,13.263293886862
92,0.92,13.749471316536576
93,0.93,13.776997785638752
94,0.9400000000000001,13.80457936278718
95,0.9500000000000001,13.859908282749332
96,0.96,13.915458961687523
97,0.97,13.9433177383876
98,0.98,13.9433177383876
99,0.99,13.9433177383876
100,1.0,13.9433177383876
