,cdf,batch_num_prefill_tokens
0,0.0,0.0
1,0.01,0.0
2,0.02,0.0
3,0.03,0.0
4,0.04,0.0
5,0.05,0.0
6,0.06,0.0
7,0.07,0.0
8,0.08,0.0
9,0.09,0.0
10,0.1,0.0
11,0.11,0.0
12,0.12,0.0
13,0.13,0.0
14,0.14,0.0
15,0.15,0.0
16,0.16,0.0
17,0.17,0.0
18,0.18,0.0
19,0.19,0.0
20,0.2,0.0
21,0.21,0.0
22,0.22,0.0
23,0.23,0.0
24,0.24,0.0
25,0.25,0.0
26,0.26,0.0
27,0.27,0.0
28,0.28,0.0
29,0.29,0.0
30,0.3,0.0
31,0.31,0.0
32,0.32,0.0
33,0.33,0.0
34,0.34,0.0
35,0.35000000000000003,0.0
36,0.36,0.0
37,0.37,0.0
38,0.38,0.0
39,0.39,0.0
40,0.4,0.0
41,0.41000000000000003,0.0
42,0.42,0.0
43,0.43,0.0
44,0.44,0.0
45,0.45,0.0
46,0.46,0.0
47,0.47000000000000003,0.0
48,0.48,0.0
49,0.49,0.0
50,0.5,0.0
51,0.51,0.0
52,0.52,0.0
53,0.53,427.0928850659405
54,0.54,428.8046784812415
55,0.55,429.6631463060288
56,0.56,431.38524135926446
57,0.5700000000000001,431.38524135926446
58,0.58,432.24887547609933
59,0.59,432.24887547609933
60,0.6,432.24887547609933
61,0.61,433.1142385901656
62,0.62,433.1142385901656
63,0.63,433.1142385901656
64,0.64,433.9813341629187
65,0.65,433.9813341629187
66,0.66,433.9813341629187
67,0.67,433.9813341629187
68,0.68,434.8501656627444
69,0.6900000000000001,434.8501656627444
70,0.7000000000000001,434.8501656627444
71,0.71,434.8501656627444
72,0.72,435.7207365649722
73,0.73,435.7207365649722
74,0.74,438.34292054381035
75,0.75,440.09980423648733
76,0.76,442.74834161126677
77,0.77,446.3045353381095
78,0.78,448.99041302084834
79,0.79,450.78997199131373
80,0.8,454.4107568025799
81,0.81,457.1454180346637
82,0.8200000000000001,458.9776623632152
83,0.8300000000000001,461.73980740680776
84,0.84,465.448542261823
85,0.85,468.24962930696654
86,0.86,471.06757340057356
87,0.87,473.90247598900476
88,0.88,476.75443912912675
89,0.89,478.6652766498472
90,0.9,481.5459025056475
91,0.91,485.4137216632423
92,0.92,488.33495991802016
93,0.93,491.27377829581536
94,0.9400000000000001,494.23028259447756
95,0.9500000000000001,497.2045792485511
96,0.96,500.19677533310926
97,0.97,503.2069785676056
98,0.98,506.23529731975384
99,0.99,509.2818406094288
100,1.0,512.3467181125903
