,Request Id,request_e2e_time_normalized,cdf
97,97,0.011154711981191057,0.0078125
98,98,0.011287600135208742,0.015625
127,127,0.011289840670678009,0.0234375
109,109,0.01136570628815986,0.03125
32,32,0.011394287926469793,0.0390625
96,96,0.011565875509777224,0.046875
114,114,0.011724594916268927,0.0546875
31,31,0.011824887843620832,0.0625
71,71,0.011847887742561986,0.0703125
63,63,0.011861831139895973,0.078125
37,37,0.011941225054392879,0.0859375
60,60,0.01201278123568797,0.09375
36,36,0.012020207923997744,0.1015625
33,33,0.012063920427608163,0.109375
30,30,0.012198740153364432,0.1171875
85,85,0.012264353870547307,0.125
61,61,0.012264722082167556,0.1328125
34,34,0.012265062748509387,0.140625
62,62,0.012317386483216147,0.1484375
84,84,0.012340565388902991,0.15625
35,35,0.01236464412406614,0.1640625
29,29,0.012474908252308722,0.171875
83,83,0.012701781374197418,0.1796875
75,75,0.012747203203130775,0.1875
74,74,0.012800053501260067,0.1953125
73,73,0.012805711056013414,0.203125
23,23,0.012912627575740535,0.2109375
59,59,0.012950603382334336,0.21875
72,72,0.012950996193680786,0.2265625
4,4,0.01295868101926155,0.234375
28,28,0.013018788607572523,0.2421875
113,113,0.01306089566609947,0.25
99,99,0.013103718690758326,0.2578125
116,116,0.013116210058600142,0.265625
115,115,0.01313220197749082,0.2734375
100,100,0.013159528037249901,0.28125
22,22,0.013206178203978416,0.2890625
58,58,0.013253943480133479,0.296875
112,112,0.013311602705456005,0.3046875
110,110,0.01337270660177059,0.3125
21,21,0.013374115605335954,0.3203125
111,111,0.013459692872138385,0.328125
108,108,0.013463758884508348,0.3359375
5,5,0.01351509131822028,0.34375
53,53,0.013531416686286213,0.3515625
57,57,0.013537247895534621,0.359375
95,95,0.013575105048181657,0.3671875
119,119,0.013726118132305787,0.375
20,20,0.013798102528531968,0.3828125
117,117,0.013818578412346072,0.390625
3,3,0.013842887144735605,0.3984375
27,27,0.013845847439964837,0.40625
107,107,0.01389000107961852,0.4140625
101,101,0.013914217066076096,0.421875
54,54,0.013958453214246436,0.4296875
118,118,0.01398419966937653,0.4375
2,2,0.014075701850816847,0.4453125
26,26,0.014083404884385128,0.453125
125,125,0.014108507174900864,0.4609375
126,126,0.014118277006712976,0.46875
82,82,0.014123984258424871,0.4765625
64,64,0.01412512319342532,0.484375
56,56,0.014175314464465516,0.4921875
121,121,0.014177652355680581,0.5
24,24,0.014188042735063897,0.5078125
81,81,0.014202498237260053,0.515625
25,25,0.014258977503574521,0.5234375
122,122,0.014271470834527289,0.53125
120,120,0.014275986993717182,0.5390625
0,0,0.014279609471766878,0.546875
1,1,0.014311925600573237,0.5546875
55,55,0.014320859388216062,0.5625
86,86,0.014325703051683902,0.5703125
94,94,0.014417909598899104,0.578125
106,106,0.014446973615244385,0.5859375
70,70,0.014479229538303884,0.59375
80,80,0.014525656566513334,0.6015625
18,18,0.01452649488895616,0.609375
93,93,0.014582398129788787,0.6171875
19,19,0.0146045267868447,0.625
76,76,0.014613060494902075,0.6328125
38,38,0.014631741779554036,0.640625
79,79,0.014686830035797072,0.6484375
123,123,0.014688568382437539,0.65625
105,105,0.014701519660816398,0.6640625
124,124,0.014788878299198505,0.671875
78,78,0.01479547632198469,0.6796875
92,92,0.014836457004714476,0.6875
104,104,0.014841365174081411,0.6953125
77,77,0.014842453649053955,0.703125
69,69,0.01484427380462991,0.7109375
103,103,0.014983339478956859,0.71875
102,102,0.015079670115614285,0.7265625
68,68,0.015165522314628255,0.734375
91,91,0.015339530681167501,0.7421875
65,65,0.015365317221011143,0.75
90,90,0.01553249237443971,0.7578125
67,67,0.01554608077795247,0.765625
66,66,0.015568523513914995,0.7734375
17,17,0.01564121328664545,0.78125
89,89,0.0158797603899537,0.7890625
88,88,0.015939169246173057,0.796875
87,87,0.016080443597624172,0.8046875
52,52,0.0162167378968954,0.8125
39,39,0.016492925296474725,0.8203125
16,16,0.016627624170071416,0.828125
51,51,0.016793025694722907,0.8359375
15,15,0.016868358703183914,0.84375
50,50,0.01698435983856253,0.8515625
7,7,0.017519643659956206,0.859375
49,49,0.01756121778109246,0.8671875
6,6,0.017673601634417745,0.875
14,14,0.01769854481391482,0.8828125
48,48,0.01812638292235083,0.890625
10,10,0.01817129484636583,0.8984375
13,13,0.018187531460083596,0.90625
8,8,0.018459845498718305,0.9140625
9,9,0.018474939314690637,0.921875
11,11,0.018655149179452993,0.9296875
12,12,0.018658138440130433,0.9375
47,47,0.01880828446757002,0.9453125
46,46,0.01921676531389227,0.953125
45,45,0.019466609323635725,0.9609375
44,44,0.01963153092794334,0.96875
42,42,0.019687760507399427,0.9765625
41,41,0.019797373275842245,0.984375
43,43,0.019820970033526814,0.9921875
40,40,0.019836956284282142,1.0
