,Request Id,request_e2e_time,cdf
0,0,26.37994572433181,0.0078125
2,2,26.797943915205447,0.015625
3,3,26.81213736537105,0.0234375
1,1,26.927314649849556,0.03125
4,4,28.00425194634009,0.0390625
5,5,28.828777874982453,0.046875
6,6,29.787291410766425,0.0546875
7,7,30.119263995059114,0.0625
8,8,30.243423059821087,0.0703125
9,9,30.709003938912197,0.078125
10,10,30.746053328498373,0.0859375
11,11,32.0046000164861,0.09375
15,15,40.565847443146,0.1015625
12,12,41.29193373891463,0.109375
14,14,41.60596229012498,0.1171875
22,22,42.95664532005571,0.125
13,13,43.173739299064295,0.1328125
21,21,43.267908231547054,0.140625
16,16,43.40561729132412,0.1484375
20,20,45.14181733198821,0.15625
34,34,45.173904686863054,0.1640625
17,17,45.398715547535915,0.171875
33,33,45.6126323110552,0.1796875
23,23,45.72865994121258,0.1875
18,18,47.007336012136804,0.1953125
35,35,47.35053817799588,0.203125
19,19,47.508173468534096,0.2109375
39,39,48.09933903638456,0.21875
24,24,48.9220147704499,0.2265625
40,40,48.994627378000644,0.234375
38,38,49.28722725757642,0.2421875
25,25,50.227317488428824,0.25
28,28,50.47001987361479,0.2578125
26,26,50.56385917925474,0.265625
27,27,50.894965470769314,0.2734375
32,32,51.09889120954936,0.28125
31,31,52.11713815610386,0.2890625
37,37,52.71278013475741,0.296875
36,36,52.71822043695832,0.3046875
29,29,53.13067351127781,0.3125
41,41,54.200841352005625,0.3203125
30,30,54.21994162349058,0.328125
43,43,57.30394811927309,0.3359375
42,42,57.4733280401266,0.34375
45,45,57.64048160458276,0.3515625
44,44,57.656732255860945,0.359375
46,46,57.94034671706564,0.3671875
47,47,61.36502319194027,0.375
48,48,67.96316186790199,0.3828125
50,50,68.37647130280595,0.390625
51,51,68.43825505140428,0.3984375
49,49,68.76990980980504,0.40625
57,57,69.51333265958657,0.4140625
58,58,69.66938367947652,0.421875
52,52,71.14993669523685,0.4296875
55,55,71.46767302071794,0.4375
56,56,71.61136343150554,0.4453125
64,64,71.6409486248399,0.453125
53,53,71.6745709058249,0.4609375
63,63,72.00924180802237,0.46875
54,54,72.83256128320463,0.4765625
59,59,73.03466661088814,0.484375
62,62,73.78646004518731,0.4921875
61,61,74.88339719201643,0.5
60,60,75.41111681699883,0.5078125
65,65,75.4317327803901,0.515625
71,71,76.98100787527962,0.5234375
66,66,77.95242224773109,0.53125
69,69,78.05702770130418,0.5390625
70,70,78.09596869507273,0.546875
76,76,78.12683803820369,0.5546875
68,68,78.16241586598515,0.5625
67,67,78.40104613159666,0.5703125
75,75,79.37385545711143,0.578125
74,74,79.85029977830078,0.5859375
72,72,80.88778290726253,0.59375
73,73,81.45005911398096,0.6015625
82,82,83.0620579765365,0.609375
83,83,83.38615522584598,0.6171875
77,77,84.25767370510295,0.625
81,81,84.30261007926734,0.6328125
80,80,84.39377299619989,0.640625
87,87,84.4302341509254,0.6484375
86,86,85.3243020239754,0.65625
79,79,85.52182766691547,0.6640625
78,78,85.57434126500499,0.671875
88,88,88.98774599598255,0.6796875
99,99,89.07546325774129,0.6875
84,84,90.16681462076309,0.6953125
85,85,90.7930950304696,0.703125
93,93,92.38636055333609,0.7109375
98,98,92.48837592509796,0.71875
94,94,92.76570345019891,0.7265625
92,92,92.96994490739755,0.734375
105,105,94.91320935033798,0.7421875
106,106,95.18911702364906,0.75
91,91,95.59704098895267,0.7578125
118,118,96.07695042464701,0.765625
111,111,96.18585736752115,0.7734375
110,110,96.26676540702061,0.78125
100,100,96.31137996314897,0.7890625
104,104,96.44818385985988,0.796875
103,103,96.55476187793133,0.8046875
89,89,96.77196876504081,0.8125
90,90,97.05557484177598,0.8203125
95,95,97.1726153804697,0.828125
102,102,97.57469162794249,0.8359375
117,117,97.7597347011882,0.84375
123,123,97.82407902120781,0.8515625
97,97,97.95716893159215,0.859375
107,107,98.16948263104763,0.8671875
122,122,98.27328578026959,0.875
119,119,98.56320678347677,0.8828125
96,96,98.87882834543663,0.890625
116,116,99.28058637371547,0.8984375
101,101,99.34839327742498,0.90625
115,115,99.4706038358529,0.9140625
127,127,99.8407439658198,0.921875
109,109,99.90813531628623,0.9296875
121,121,101.12415846946519,0.9375
120,120,102.4674808060877,0.9453125
114,114,103.03738389144249,0.953125
112,112,104.35141638848975,0.9609375
125,125,104.93241950016593,0.96875
126,126,105.01783398843847,0.9765625
108,108,105.32351475942977,0.984375
124,124,105.5802776712481,0.9921875
113,113,107.3966556480051,1.0
