,Request Id,prefill_e2e_time,cdf
0,0,0.4437881135058279,0.0078125
4,4,0.5202690660732641,0.015625
5,5,0.5443987527135175,0.0234375
6,6,0.6354053251899927,0.03125
8,8,0.657951110078649,0.0390625
11,11,0.677961875950702,0.046875
3,3,0.6820013682247317,0.0546875
2,2,0.7938045096585316,0.0625
7,7,0.8781436671711678,0.0703125
1,1,0.9661026043026348,0.078125
10,10,1.0556273213288652,0.0859375
12,12,1.0829339639545577,0.09375
9,9,1.1095536691697596,0.1015625
15,15,11.139093452646446,0.109375
14,14,12.242336481731314,0.1171875
22,22,13.650774456739875,0.125
13,13,13.826083862670632,0.1328125
16,16,13.960913661872269,0.140625
21,21,14.019111369304632,0.1484375
17,17,15.270575395508292,0.15625
20,20,15.885216549745774,0.1640625
23,23,15.959482825332984,0.171875
34,34,16.138066769124507,0.1796875
33,33,16.60006595725904,0.1875
35,35,17.470250704023066,0.1953125
18,18,17.941375575480464,0.203125
19,19,18.405870864676626,0.2109375
39,39,18.734556272156325,0.21875
40,40,19.61244857482005,0.2265625
24,24,19.862180172327093,0.234375
38,38,19.99109073442162,0.2421875
25,25,20.89373160586279,0.25
28,28,21.05247477902296,0.2578125
26,26,21.2329099646887,0.265625
27,27,21.495370015129836,0.2734375
32,32,22.081364615753223,0.28125
29,29,22.98029871392624,0.2890625
31,31,23.096920042307744,0.296875
37,37,23.414006943602615,0.3046875
36,36,23.688494541294332,0.3125
41,41,24.03699326588132,0.3203125
30,30,25.18932708169445,0.328125
43,43,28.30638325688838,0.3359375
42,42,28.47626074974191,0.34375
45,45,28.633142022198072,0.3515625
44,44,28.652000273476233,0.359375
46,46,28.908603348279684,0.3671875
47,47,31.488543095318505,0.375
48,48,38.93018064063554,0.3828125
51,51,39.081471381147196,0.390625
50,50,39.085770993622276,0.3984375
49,49,39.47657283262134,0.40625
57,57,40.511172171171424,0.4140625
58,58,40.642655376260805,0.421875
53,53,41.56278045385427,0.4296875
52,52,41.774649786026586,0.4375
64,64,42.26337937162921,0.4453125
55,55,42.47528997230279,0.453125
56,56,42.611859023090375,0.4609375
63,63,42.65128299376407,0.46875
59,59,43.212704030952295,0.4765625
54,54,43.84053052678951,0.484375
62,62,44.493303152002426,0.4921875
65,65,45.32050870441962,0.5
61,61,45.59016651083154,0.5078125
60,60,46.37691614066196,0.515625
71,71,46.771406017824816,0.5234375
76,76,48.06569788130082,0.53125
66,66,48.62356158972146,0.5390625
69,69,48.71415395129449,0.546875
70,70,48.72786425933158,0.5546875
68,68,48.82587355597549,0.5625
67,67,49.071833181586996,0.5703125
75,75,49.67205936044891,0.578125
74,74,50.21330560271167,0.5859375
72,72,51.51102638852143,0.59375
73,73,51.81427259039182,0.6015625
83,83,53.57806507746153,0.609375
82,82,54.07621965993499,0.6171875
77,77,54.162992464323025,0.625
87,87,55.12564841479201,0.6328125
81,81,55.346329443587734,0.640625
80,80,55.444441080520306,0.6484375
86,86,56.084518208915426,0.65625
79,79,56.58043884323587,0.6640625
78,78,56.6320977733254,0.671875
88,88,58.587990816849015,0.6796875
99,99,59.753523651300156,0.6875
84,84,61.18829461109226,0.6953125
85,85,61.5545188674096,0.703125
98,98,63.23102167973019,0.7109375
93,93,63.467032512667885,0.71875
94,94,63.80637413867808,0.7265625
92,92,64.05231846672936,0.734375
100,100,64.45895124837227,0.7421875
107,107,65.58800037967893,0.75
105,105,65.91790236574076,0.7578125
106,106,66.20521059905187,0.765625
91,91,66.6805527082845,0.7734375
95,95,67.19990672998935,0.78125
111,111,67.22753912480076,0.7890625
110,110,67.37486564537363,0.796875
104,104,67.45691895526267,0.8046875
103,103,67.56758593333416,0.8125
118,118,67.81374541903199,0.8203125
89,89,67.85099136437265,0.828125
90,90,68.13704472110783,0.8359375
102,102,68.59478672334532,0.84375
97,97,68.70102233822436,0.8515625
117,117,69.19893299539157,0.859375
96,96,69.54346894004306,0.8671875
101,101,70.37099594482785,0.875
116,116,70.7267385879189,0.8828125
115,115,70.92411045005639,0.890625
109,109,71.01744320663926,0.8984375
119,119,71.04950387379924,0.90625
123,123,72.12634437144885,0.9140625
112,112,73.08654039816994,0.921875
122,122,73.17444183416865,0.9296875
114,114,74.49938423764596,0.9375
121,121,75.66025021707046,0.9453125
108,108,76.35382639775702,0.953125
120,120,76.54699293882598,0.9609375
113,113,78.86080028620859,0.96875
127,127,80.54509036080594,0.9765625
125,125,84.90824160239706,0.984375
124,124,85.17155133518554,0.9921875
126,126,85.3873745569633,1.0
