,Request Id,prefill_time_execution_plus_preemption_normalized,cdf
0,0,0.00021669341479776754,0.0078125
4,4,0.00024967062269672016,0.015625
3,3,0.0002512366822670332,0.0234375
5,5,0.0002526317994545335,0.03125
23,23,0.0002584980480253818,0.0390625
35,35,0.000259197006244468,0.046875
47,47,0.00025989975456686603,0.0546875
59,59,0.00026048829567776403,0.0625
71,71,0.00026175305942620065,0.0703125
83,83,0.0002633029858180693,0.078125
95,95,0.00026354300677141305,0.0859375
76,76,0.00026621241107572754,0.09375
88,88,0.000266580616346925,0.1015625
100,100,0.0002688114164837193,0.109375
123,123,0.0002694025501397272,0.1171875
7,7,0.00027130062820838064,0.125
17,17,0.00027357068640920844,0.1328125
29,29,0.00027498615092026263,0.140625
41,41,0.0002765470940664515,0.1484375
112,112,0.00027733423000781034,0.15625
53,53,0.00027799360763502816,0.1640625
10,10,0.00027825135715586497,0.171875
65,65,0.00027945533310538444,0.1796875
1,1,0.00027977156683705305,0.1875
119,119,0.0002808389437775616,0.1953125
16,16,0.00028233074065257824,0.203125
40,40,0.00028233074065257824,0.2109375
52,52,0.00028233074065257824,0.21875
64,64,0.00028233074065257824,0.2265625
28,28,0.0002823307406525817,0.234375
127,127,0.0002840012680908055,0.2421875
108,108,0.0002854592562775704,0.25
120,120,0.0002854592562775704,0.2578125
12,12,0.0002861502507178275,0.265625
2,2,0.0002881623480870531,0.2734375
22,22,0.0002904565409222945,0.28125
111,111,0.00029101107217227584,0.2890625
39,39,0.00029190615029729,0.296875
51,51,0.00029190615029729,0.3046875
27,27,0.00029190615029729347,0.3125
63,63,0.00029190615029729694,0.3203125
75,75,0.00029190615029729694,0.328125
87,87,0.00029190615029729694,0.3359375
99,99,0.00029190615029729694,0.34375
77,77,0.0002921295723067791,0.3515625
11,11,0.0002922031245045583,0.359375
94,94,0.00029238670216290286,0.3671875
15,15,0.0002931818431525339,0.375
72,72,0.00029617124070330236,0.3828125
84,84,0.00029617124070330236,0.390625
19,19,0.00029627574300837567,0.3984375
96,96,0.0002966722897956575,0.40625
60,60,0.00029681857716290505,0.4140625
82,82,0.0003003150175587693,0.421875
70,70,0.00030070331599162115,0.4296875
46,46,0.0003008867629301845,0.4375
58,58,0.00030102698343834056,0.4453125
34,34,0.0003013463246776815,0.453125
48,48,0.00030165226152500946,0.4609375
118,118,0.00030300907795610676,0.46875
24,24,0.00030412870144317164,0.4765625
36,36,0.00030424401394316125,0.484375
6,6,0.000308908441837054,0.4921875
8,8,0.00030891637152455353,0.5
105,105,0.00031068142425892675,0.5078125
117,117,0.000310697478946409,0.515625
104,104,0.00031115857269641,0.5234375
45,45,0.0003116021664464341,0.53125
57,57,0.0003117918930089225,0.5390625
69,69,0.0003117918930089225,0.546875
81,81,0.0003118677523839264,0.5546875
93,93,0.0003119916195714334,0.5625
116,116,0.0003120632601964213,0.5703125
44,44,0.0003123288461339274,0.578125
56,56,0.0003124221273839295,0.5859375
68,68,0.00031245271332143443,0.59375
80,80,0.0003125285726964383,0.6015625
103,103,0.00031274880707143904,0.609375
115,115,0.0003131076742589334,0.6171875
43,43,0.00031321411957143525,0.625
55,55,0.0003132850570714274,0.6328125
102,102,0.00031341974457142763,0.640625
67,67,0.00031349845550891764,0.6484375
114,114,0.0003135971273839355,0.65625
9,9,0.0003140052387120536,0.6640625
92,92,0.0003143240023839172,0.671875
18,18,0.0003144188461339306,0.6796875
101,101,0.0003148040805089347,0.6875
79,79,0.0003152930648839397,0.6953125
14,14,0.00031553943207142734,0.703125
42,42,0.0003157034164464334,0.7109375
89,89,0.0003157557465245653,0.71875
30,30,0.0003159837680089331,0.7265625
54,54,0.0003160048226964335,0.734375
33,33,0.00031612384613392136,0.7421875
66,66,0.0003162182211339237,0.75
113,113,0.0003166525180089419,0.7578125
124,124,0.0003167362152745601,0.765625
91,91,0.000317013143008929,0.7734375
126,126,0.00031732521332145103,0.78125
32,32,0.0003174347055089205,0.7890625
13,13,0.00031755564300892797,0.796875
78,78,0.0003175556430089349,0.8046875
107,107,0.00031787226633003997,0.8125
90,90,0.00031793117621205236,0.8203125
106,106,0.00031826829925893363,0.828125
125,125,0.00031888027777454697,0.8359375
31,31,0.00031909732269642943,0.84375
20,20,0.00032152883246205216,0.8515625
21,21,0.00032318579925892654,0.859375
110,110,0.00032344197113390316,0.8671875
122,122,0.00032344197113390316,0.875
74,74,0.0003235477133214232,0.8828125
86,86,0.0003235477133214232,0.890625
98,98,0.0003235477133214232,0.8984375
109,109,0.00032403164496203063,0.90625
121,121,0.00032403164496203063,0.9140625
61,61,0.00032413738714953677,0.921875
73,73,0.00032413738714953677,0.9296875
85,85,0.00032413738714953677,0.9375
97,97,0.00032413738714953677,0.9453125
25,25,0.00032413738714955065,0.953125
37,37,0.0003241373871495576,0.9609375
49,49,0.0003241373871495576,0.96875
62,62,0.00032417341644641606,0.9765625
26,26,0.0003254248226964261,0.984375
38,38,0.0003254248226964296,0.9921875
50,50,0.0003254248226964296,1.0
